"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
5.9291,5.3722,3.7425,-3.9693,-5.582,9.327,1.9712,0.9087,5.5456,-3.7056,-7.2848,-1.7375,4.3297,2.4267,0.9061,4.5826,-1.7923,-0.9637,0.4412,-1.2144,-2.9819,1.6311,0.6318,-2.9064,-6.1869,-7.0184,3.2413,0.2336,1.1127,2.2268,-1.8271,4.8462,-4.9073,3.3378,0.5888,0.5396,-10.7476,-7.2978,11.0104,1.4635,0.848,1.2152,1.9539,-3.9952,-0.0806,2.6615,6.4937,-6.7016,-8.7049,-6.6765
-0.8629,1.5147,-5.9105,6.8013,2.0846,0.6488,0.4165,-1.3865,2.1205,2.943,4.0163,3.9631,-2.7529,-9.3819,5.0308,1.5726,-3.7538,5.0299,3.2867,2.019,5.5112,4.6655,2.7385,-7.652,1.7855,-2.184,1.6644,-4.2238,-2.8822,9.3566,4.9492,-5.1076,3.9462,0.1255,-4.6671,-5.0207,-6.7451,3.2023,0.073,5.9559,-5.1191,1.2178,3.2833,3.3721,-7.4594,-5.6122,2.5931,0.9141,-0.6566,3.6359
-2.6266,2.146,-8.3168,7.717,1.0519,-0.6624,-2.5601,1.433,-5.3688,-1.711,7.429,2.8368,-0.9036,-10.6585,7.2469,-2.8408,-3.9823,3.7657,2.4616,-1.8594,2.0427,4.4897,0.9566,-8.7808,2.589,0.6574,-0.0476,-4.0088,-3.2115,2.5221,5.3766,0.3372,-0.315,-0.3016,-3.2052,0.9648,-0.1132,-1.3009,1.8826,7.4607,0.3827,-0.5152,3.9987,-0.3649,-1.2772,-1.2704,-2.2263,10.1353,2.4065,5.6996
1.5208,0.5969,-5.073,9.1981,2.5322,-4.1638,1.9157,4.5992,5.5283,-2.0307,1.9861,-0.1582,-3.5084,-4.1538,5.0633,2.5269,3.9002,3.6452,4.8065,1.6341,7.1238,5.4136,1.635,-9.5338,3.2205,-0.863,0.9886,-7.6872,3.2872,-0.6663,2.5005,1.4516,-0.8729,-2.6378,-6.3799,-3.6615,-4.4322,0.0428,3.0298,5.5591,-0.8592,-3.7214,2.4116,2.9107,0.1737,-1.541,-4.4966,4.6932,-1.978,5.8868
-0.4014,-1.2343,-5.0203,6.0851,0.5184,-1.8092,-3.019,0.107,2.3045,-5.8396,4.4338,0.7766,-1.6086,-9.2992,5.0488,-0.6606,-1.2627,1.2968,1.5647,4.9679,3.9519,6.0789,0.9831,-9.0579,-0.3123,2.086,0.5089,-0.4907,-1.1306,1.4453,6.8469,3.2484,0.4597,-0.0224,-6.2417,0.0564,-2.1501,1.6262,6.0634,1.7256,0.5472,-1.3197,-0.4407,0.538,-4.1928,-2.4336,1.6993,3.7833,-0.5689,1.4876
-0.6993,3.3165,-0.3832,10.9531,3.9513,0.8714,-1.4764,2.3752,-0.3602,-2.0361,4.9694,3.2548,0.2283,-7.8669,4.9718,0.1622,2.5935,3.1122,4.611,3.6393,6.6826,3.8142,1.9451,-8.2598,1.2039,3.1112,-0.0589,-5.8444,-4.5744,2.004,5.3331,-0.6001,1.5508,-1.4216,-3.4617,-3.765,-3.6326,3.3428,5.5079,4.1785,-0.5188,1.6364,5.454,1.1663,0.7955,-2.0931,2.7223,1.4759,-3.6231,0.8245
2.87,-1.0054,1.1996,3.2432,-5.8375,-1.2034,-2.7486,0.5214,-1.0861,-0.6025,0.6588,0.7331,-1.3861,-6.1477,-4.5709,-1.1962,-5.4862,6.6833,1.0271,1.671,-1.6223,-4.1833,1.6909,-1.9373,-1.2033,-4.8163,-0.9148,-0.3551,3.4358,-0.6808,2.7283,2.6833,1.1408,-2.3366,-9.6943,0.5151,2.2727,-0.9896,-0.4498,2.4968,-0.0067,-3.5181,7.629,0.8328,-5.7337,-9.01,-2.6451,3.0658,4.7788,5.3799
-6.6765,-2.4648,-3.2137,5.0515,2.2769,-7.4739,5.853,4.1726,0.9754,-2.8635,11.846,3.1178,-3.3413,-12.6445,3.7945,-0.9338,-0.4835,0.8125,6.199,0.7852,4.0323,4.6579,2.751,-8.1427,0.2791,1.806,4.6644,-5.1102,-4.6949,1.4441,5.5488,0.4669,0.7423,-1.0645,-1.8985,-2.5772,-1.7389,0.9085,2.0747,3.7082,-0.0887,-3.7742,4.1175,1.1882,-4.6105,-2.6903,0.491,1.5054,-0.3142,2.7875
1.838,1.1102,5.2372,6.5148,-2.0542,0.2054,1.2632,-0.1415,-8.9571,-1.1238,-2.7716,2.5117,3.0604,-6.8469,-5.9269,-1.4154,-2.8083,4.8335,0.1399,-1.2059,-2.6082,-1.8245,-1.7059,1.7852,0.4303,-1.8278,-1.5811,-0.5653,3.0692,-3.4834,6.6356,2.3486,3.8853,-3.4665,-5.8785,-0.1376,7.2018,-0.7299,-4.0483,0.5915,0.3612,-0.5346,4.866,-3.6683,-7.0701,-6.0206,4.8542,5.2313,6.1891,-1.4532
-1.8982,0.39,-3.0533,5.6321,-1.13,-2.3262,0.9006,2.2242,-0.6064,-2.846,5.8604,2.8525,-1.6721,-7.5227,2.3236,1.7119,-1.8043,7.305,3.0887,1.7968,1.2949,3.2268,-1.9277,-7.5374,2.3507,0.5752,0.8032,-6.3077,0.6429,1.9405,5.5922,4.9551,1.0786,1.5333,-2.7397,0.0945,-1.3501,-0.1196,4.5553,5.6935,2.322,4.2939,1.1185,-1.1396,-2.8691,-2.1547,4.0874,7.0225,-0.8055,4.8656
-3.8846,1.3093,1.6324,4.0714,2.5612,-3.5941,0.5077,5.0031,3.338,-1.742,8.0502,-1.6611,1.2061,-8.9183,3.631,-2.7876,2.3111,5.6665,4.1294,2.5052,5.8491,5.3899,4.219,-10.4463,0.7571,-1.3824,-4.4929,-7.7776,-3.9241,-1.7355,6.8014,-1.4876,5.9453,-1.5962,-4.5256,-4.5973,-3.9029,2.1968,1.8099,2.9226,-0.9843,-1.1884,3.6549,2.4801,-2.3363,-2.7548,3.791,3.1497,0.188,6.157
-5.6748,3.5745,-1.5276,5.5643,1.6985,-2.4539,6.5592,3.066,2.3403,1.7352,8.8059,1.8547,-3.2816,-12.2729,5.5422,0.0969,0.8166,2.54,3.9971,1.3707,6.2178,3.9796,1.9984,-3.1525,2.2069,2.4852,-1.95,-9.852,1.8918,3.5035,5.9164,-0.8064,-1.435,-1.4457,-6.7387,-2.4361,-0.3582,1.647,6.0397,4.6558,-2.5224,-0.2312,2.1298,4.2302,-4.7081,-2.5867,4.1351,3.153,-0.3867,4.6461
4.3017,6.804,3.7936,-0.3025,-1.1538,4.3143,0.9532,-4.022,4.7598,-2.9598,-2.9285,-4.8439,4.9236,-1.2996,2.1606,-0.6082,0.4015,-4.1146,3.3027,-2.5858,-6.382,4.1997,-0.3396,-0.3051,-0.8915,-1.7473,7.251,-6.2835,2.8279,1.7007,-1.5339,8.3186,-2.2182,4.4973,-3.2274,1.261,-8.4377,-8.5907,6.3183,-2.1603,0.9448,4.8999,-1.2808,-4.8177,-1.3888,2.7967,4.9095,-3.0653,-9.4915,-8.2556
2.5525,-1.6182,2.8437,0.0092,-1.1264,1.3108,-1.0263,-0.3464,-4.7748,-3.7935,1.845,1.633,-0.8899,-5.721,-3.6299,1.0005,-4.2683,6.528,1.844,0.0663,-2.6651,-0.2267,4.2249,-0.5656,-0.0947,-1.9918,-4.807,-6.8962,2.0804,-2.6003,5.4523,0.6697,3.957,-2.2147,-8.2939,0.6206,5.9226,1.3399,-2.1836,-1.2611,-0.0707,-3.7372,7.5789,1.2374,-5.4327,-4.1322,4.8846,6.9081,1.113,1.8713
